date_time,water_level,sigma,o,f,r,l,quality 
2017-06-26 10:54,603.110,0.003,0,0,0,0,v
2017-06-26 11:00,603.127,0.003,0,0,0,0,v
2017-06-26 11:06,603.123,0.000,0,0,0,0,v
2017-06-26 11:12,603.107,0.003,0,0,0,0,v
2017-06-26 11:18,603.091,0.000,0,0,0,0,v
2017-06-26 11:24,603.074,0.000,0,0,0,0,v
2017-06-26 11:30,603.074,0.000,0,0,0,0,v
2017-06-26 11:36,603.045,0.007,0,0,0,0,v
2017-06-26 11:42,603.009,0.003,0,0,0,0,v
2017-06-26 11:48,603.005,0.000,0,0,0,0,v
2017-06-26 11:54,602.995,0.003,0,0,0,0,v
2017-06-26 12:00,602.969,0.007,0,0,0,0,v
2017-06-26 12:06,602.946,0.000,0,0,0,0,v
2017-06-26 12:12,602.946,0.000,0,0,0,0,v
2017-06-26 12:18,602.943,0.007,0,0,0,0,v
2017-06-26 12:24,602.936,0.000,0,0,0,0,v
2017-06-26 12:30,602.936,0.000,0,0,0,0,v
2017-06-26 12:36,602.936,0.000,0,0,0,0,v
2017-06-26 12:42,602.936,0.000,0,0,0,0,v
2017-06-26 12:48,602.933,0.010,0,0,0,0,v
2017-06-26 12:54,602.930,0.003,0,0,0,0,v
2017-06-26 13:00,602.907,0.010,0,0,0,0,v
2017-06-26 13:06,602.884,0.010,0,0,0,0,v
2017-06-26 13:12,602.881,0.007,0,0,0,0,v
2017-06-26 13:18,602.864,0.003,0,0,0,0,v
2017-06-26 13:24,602.838,0.003,0,0,0,0,v
2017-06-26 13:30,602.815,0.007,0,0,0,0,v
2017-06-26 13:36,602.802,0.003,0,0,0,0,v
2017-06-26 13:42,602.766,0.007,0,0,0,0,v
2017-06-26 13:48,602.746,0.007,0,0,0,0,v
2017-06-26 13:54,602.746,0.007,0,0,0,0,v
2017-06-26 14:00,602.746,0.000,0,0,0,0,v
2017-06-26 14:06,602.730,0.000,0,0,0,0,v
2017-06-26 14:12,602.710,0.000,0,0,0,0,v
2017-06-26 14:18,602.700,0.003,0,0,0,0,v
2017-06-26 14:24,602.694,0.003,0,0,0,0,v
2017-06-26 14:30,602.674,0.003,0,0,0,0,v
2017-06-26 14:36,602.671,0.000,0,0,0,0,v
2017-06-26 14:42,602.667,0.000,0,0,0,0,v
2017-06-26 14:48,602.648,0.000,0,0,0,0,v
2017-06-26 14:54,602.628,0.000,0,0,0,0,v
2017-06-26 15:00,602.608,0.013,0,0,0,0,v
2017-06-26 15:06,602.595,0.007,0,0,0,0,v
2017-06-26 15:12,602.572,0.023,0,0,0,0,v
2017-06-26 15:18,602.575,0.016,0,0,0,0,v
2017-06-26 15:24,602.579,0.007,0,0,0,0,v
2017-06-26 15:30,602.552,0.007,0,0,0,0,v
2017-06-26 15:36,602.523,0.007,0,0,0,0,v
2017-06-26 15:42,602.516,0.016,0,0,0,0,v
2017-06-26 15:48,602.533,0.007,0,0,0,0,v
2017-06-26 15:54,602.549,0.000,0,0,0,0,v
2017-06-26 16:00,602.546,0.013,0,0,0,0,v
2017-06-26 16:06,602.562,0.013,0,0,0,0,v
2017-06-26 16:12,602.595,0.007,0,0,0,0,v
2017-06-26 16:18,602.612,0.003,0,0,0,0,v
2017-06-26 16:24,602.621,0.010,0,0,0,0,v
2017-06-26 16:30,602.654,0.013,0,0,0,0,v
2017-06-26 16:36,602.690,0.007,0,0,0,0,v
2017-06-26 16:42,602.694,0.000,0,0,0,0,v
2017-06-26 16:48,602.677,0.007,0,0,0,0,v
2017-06-26 16:54,602.700,0.007,0,0,0,0,v
2017-06-26 17:00,602.700,0.000,0,0,0,0,v
2017-06-26 17:06,602.710,0.000,0,0,0,0,v
2017-06-26 17:12,602.730,0.003,0,0,0,0,v
2017-06-26 17:18,602.723,0.003,0,0,0,0,v
2017-06-26 17:24,602.736,0.000,0,0,0,0,v
2017-06-26 17:30,602.756,0.000,0,0,0,0,v
2017-06-26 17:36,602.759,0.007,0,0,0,0,v
2017-06-26 17:42,602.766,0.003,0,0,0,0,v
2017-06-26 17:48,602.789,0.000,0,0,0,0,v
2017-06-26 17:54,602.812,0.003,0,0,0,0,v
2017-06-26 18:00,602.831,0.003,0,0,0,0,v
2017-06-26 18:06,602.851,0.003,0,0,0,0,v
2017-06-26 18:12,602.861,0.003,0,0,0,0,v
2017-06-26 18:18,602.887,0.003,0,0,0,0,v
2017-06-26 18:24,602.907,0.003,0,0,0,0,v
2017-06-26 18:30,602.930,0.007,0,0,0,0,v
2017-06-26 18:36,602.963,0.007,0,0,0,0,v
2017-06-26 18:42,602.982,0.007,0,0,0,0,v
2017-06-26 18:48,602.989,0.007,0,0,0,0,v
2017-06-26 18:54,602.982,0.000,0,0,0,0,v
2017-06-26 19:00,603.002,0.003,0,0,0,0,v
2017-06-26 19:06,603.002,0.000,0,0,0,0,v
2017-06-26 19:12,603.002,0.000,0,0,0,0,v
2017-06-26 19:18,602.992,0.000,0,0,0,0,v
2017-06-26 19:24,602.999,0.000,0,0,0,0,v
2017-06-26 19:30,602.999,0.000,0,0,0,0,v
2017-06-26 19:36,602.986,0.007,0,0,0,0,v
2017-06-26 19:42,603.002,0.003,0,0,0,0,v
2017-06-26 19:48,603.012,0.000,0,0,0,0,v
2017-06-26 19:54,603.025,0.000,0,0,0,0,v
2017-06-26 20:00,603.009,0.000,0,0,0,0,v
2017-06-26 20:06,603.005,0.000,0,0,0,0,v
2017-06-26 20:12,603.035,0.000,0,0,0,0,v
2017-06-26 20:18,603.041,0.003,0,0,0,0,v
2017-06-26 20:24,603.022,0.007,0,0,0,0,v
2017-06-26 20:30,602.995,0.003,0,0,0,0,v
2017-06-26 20:36,602.982,0.000,0,0,0,0,v
2017-06-26 20:42,602.986,0.003,0,0,0,0,v
2017-06-26 20:48,602.989,0.007,0,0,0,0,v
2017-06-26 20:54,602.956,0.007,0,0,0,0,v
2017-06-26 21:00,602.927,0.007,0,0,0,0,v
2017-06-26 21:06,602.897,0.007,0,0,0,0,v
2017-06-26 21:12,602.864,0.000,0,0,0,0,v
2017-06-26 21:18,602.864,0.000,0,0,0,0,v
2017-06-26 21:24,602.848,0.003,0,0,0,0,v
2017-06-26 21:30,602.867,0.007,0,0,0,0,v
2017-06-26 21:36,602.890,0.007,0,0,0,0,v
2017-06-26 21:42,602.838,0.010,0,0,0,0,v
2017-06-26 21:48,602.802,0.000,0,0,0,0,v
2017-06-26 21:54,602.854,0.013,0,0,0,0,v
2017-06-26 22:00,602.927,0.010,0,0,0,0,v
2017-06-26 22:06,602.943,0.003,0,0,0,0,v
2017-06-26 22:12,602.897,0.007,0,0,0,0,v
2017-06-26 22:18,602.864,0.010,0,0,0,0,v
2017-06-26 22:24,602.887,0.020,0,0,0,0,v
2017-06-26 22:30,602.927,0.013,0,0,0,0,v
2017-06-26 22:36,602.949,0.003,0,0,0,0,v
2017-06-26 22:42,602.927,0.016,0,0,0,0,v
2017-06-26 22:48,602.874,0.007,0,0,0,0,v
2017-06-26 22:54,602.864,0.003,0,0,0,0,v
2017-06-26 23:00,602.835,0.016,0,0,0,0,v
2017-06-26 23:06,602.818,0.007,0,0,0,0,v
2017-06-26 23:12,602.854,0.010,0,0,0,0,v
2017-06-26 23:18,602.858,0.003,0,0,0,0,v
2017-06-26 23:24,602.828,0.010,0,0,0,0,v
2017-06-26 23:30,602.785,0.010,0,0,0,0,v
2017-06-26 23:36,602.795,0.010,0,0,0,0,v
2017-06-26 23:42,602.831,0.016,0,0,0,0,v
2017-06-26 23:48,602.858,0.007,0,0,0,0,v
2017-06-26 23:54,602.835,0.007,0,0,0,0,v
2017-06-27 00:00,602.831,0.000,0,0,0,0,v
2017-06-27 00:06,602.831,0.007,0,0,0,0,v
2017-06-27 00:12,602.877,0.010,0,0,0,0,v
2017-06-27 00:18,602.907,0.003,0,0,0,0,v
2017-06-27 00:24,602.927,0.003,0,0,0,0,v
2017-06-27 00:30,602.936,0.003,0,0,0,0,v
2017-06-27 00:36,602.936,0.000,0,0,0,0,v
2017-06-27 00:42,602.917,0.000,0,0,0,0,v
2017-06-27 00:48,602.936,0.003,0,0,0,0,v
2017-06-27 00:54,602.969,0.016,0,0,0,0,v
2017-06-27 01:00,602.969,0.007,0,0,0,0,v
2017-06-27 01:06,602.940,0.003,0,0,0,0,v
2017-06-27 01:12,602.920,0.007,0,0,0,0,v
2017-06-27 01:18,602.904,0.003,0,0,0,0,v
2017-06-27 01:24,602.917,0.007,0,0,0,0,v
2017-06-27 01:30,602.956,0.007,0,0,0,0,v
2017-06-27 01:36,602.982,0.007,0,0,0,0,v
2017-06-27 01:42,602.989,0.007,0,0,0,0,v
2017-06-27 01:48,602.992,0.000,0,0,0,0,v
2017-06-27 01:54,603.005,0.003,0,0,0,0,v
2017-06-27 02:00,603.038,0.000,0,0,0,0,v
2017-06-27 02:06,603.048,0.000,0,0,0,0,v
2017-06-27 02:12,603.081,0.010,0,0,0,0,v
2017-06-27 02:18,603.114,0.000,0,0,0,0,v
2017-06-27 02:24,603.058,0.013,0,0,0,0,v
2017-06-27 02:30,603.035,0.000,0,0,0,0,v
2017-06-27 02:36,603.054,0.003,0,0,0,0,v
2017-06-27 02:42,603.048,0.003,0,0,0,0,v
2017-06-27 02:48,603.045,0.007,0,0,0,0,v
2017-06-27 02:54,603.048,0.003,0,0,0,0,v
2017-06-27 03:00,603.028,0.003,0,0,0,0,v
2017-06-27 03:06,603.012,0.000,0,0,0,0,v
2017-06-27 03:12,602.999,0.003,0,0,0,0,v
2017-06-27 03:18,603.015,0.007,0,0,0,0,v
2017-06-27 03:24,603.045,0.003,0,0,0,0,v
